SpeciesUId,Class,Order,Name,ScientificName,Icon,Notes,Level,RedData
1,Birds,Ground Birds,Common Ostrich,Struthio camelus,001a.png,"  Very large (stands about 2 metres tall); % mainly black; wings white, tail buff; &amp;  greyish brown; wings whitish. Bushveld to desert. Mainly tropical. Fairly common resident.",1,N
2,Birds,Penguins,King Penguin,Aptenodytes patagonicus,002a.png,"  Very large; head black; bright orange ear patch; back bluegrey; below white, breast golden yellow; bill long. Subantarctic waters. Very rare vagrant.",1,N
3,Birds,Penguins,African Penguin,Spheniscus demersus,003a.png,  Large to medium; above black; below white with broad black chestband. Mainly SW and W coasts. Common resident.,1,N
4,Birds,Penguins,Southern Rockhopper Penguin,Eudyptes chrysocome,004a.png,  Medium to large; black above and on throat; below white; bristling yellow head plumes; bill pink to orange. Coastal and open sea. Rare vagrant.,1,N
5,Birds,Penguins,Macaroni Penguin,Eudyptes chrysolophus,005a.png,  Large; black above and on throat; below white; drooping orange head plumes; bill red-brown to black. Open ocean. Very rare vagrant.,1,N
6,Birds,Small Water Birds,Great Crested Grebe,Podiceps cristatus,006a.png,  Medium; above brown; below white; neck long and thin; conspicuous black and rufous crest. Larger inland waters. Mostly uncommon.,1,N
7,Birds,Small Water Birds,Black-necked Grebe,Podiceps nigricollis,007a.png,"  Small. Br: head, neck and back black; golden tufts behind eyes; below white. Nonbr: above blackish; below white. Inland waters; also at sea when not Br. May be gregarious. Uncommon nomad.",1,N
8,Birds,Small Water Birds,Little Grebe,Tachybaptus ruficollis,008a.png,  Small; above blackish; below pale rufous; neck rufous (Br) or greyish (Nonbr); pale swelling at gape. Sometimes gregarious.Inland waters. Common.,1,N
9,Birds,Albatrosses and Gulls,Southern Royal Albatross,Diomedea epomophora,009a.png,"  Very large; bill large, pinkish; white with black primaries or entirely black upperwing. Southern oceans. Very rare vagrant.",1,N
10,Birds,Albatrosses and Gulls,Tristan Albatross,Diomedea dabbenena,010a.png,  Very large; bill pale pink; mostly white; wingtip and trailing edge black. Open southern oceans. Common off continental shelf.,1,N
11,Birds,Albatrosses and Gulls,Wandering Albatross,Diomedea exulans,010a.png,  Very large; bill pale pink; mostly white; wingtip and trailing edge black. Open southern oceans. Common off continental shelf.,1,N
12,Birds,Albatrosses and Gulls,Laysan Albatross,Phoebastria immutabilis,010a.png,,1,N
13,Birds,Albatrosses and Gulls,Shy Albatross,Thalassarche cauta,011a.png,  Large; body mainly white; back grey; upperwing greyish brown; underwing white with small black patch at junction with body; white cap; bill greyish. Open southern oceans. Fairly common.,1,N
14,Birds,Albatrosses and Gulls,Salvin’s Albatross,Thalassarche salvini,011a.png,,1,N
15,Birds,Albatrosses and Gulls,Chatham Albatross,Thalassarche eremita,011a.png,,1,N
16,Birds,Albatrosses and Gulls,Black-browed Albatross,Thalassarche melanophrys,012a.png,"  Large; body, head and underwing white; upperwing, back and border of underwing black; bill pale yellowish pink. Open southern oceans. Common.",1,N
17,Birds,Albatrosses and Gulls,Grey-headed Albatross,Thalassarche chrysostoma,013a.png,"  Large; underparts and rump white; head grey; back and upperwing blackish; bill black, striped yellow above and below. Open southern oceans. Rare.",1,N
18,Birds,Albatrosses and Gulls,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,014a.png,"  Large; mainly white; underwing edged black; bill black with yellow stripe along top. Open southern oceans. Common, especially in winter.",1,N
19,Birds,Albatrosses and Gulls,Indian Yellow-nosed Albatross,Thalassarche carteri,014a.png,"  Large; upperparts dark grey; rump white; tail black;  head, throat and mantle grey; forehead white; upperwing dark grey; underwing white with relatively thin black edges. Open ocean. Very rare vagrant to sw Cape.",1,N
20,Birds,Albatrosses and Gulls,Buller's Albatross,Thalassarche bulleri,014a.png,,1,N
21,Birds,Albatrosses and Gulls,Sooty Albatross,Phoebetria fusca,015a.png,  Large; body all sooty blackish brown; yellow groove along dark bill. Open southern oceans. Rare.,1,N
22,Birds,Albatrosses and Gulls,Light-mantled Albatross,Phoebetria palpebrata,016a.png,"  Large; body ashy grey; head, rump, wings and tail dark sooty brown; narrow blue groove along dark bill. Open southern oceans. Very rare.",1,N
23,Birds,Terns Petrels and Frigates,Southern Giant Petrel,Macronectes giganteus,017a.png,"  Large; dark form dusky greyish brown, paler below; head and neck much paler, sometimes whitish; bill greenish yellow; light form mostly white with few dark feathers. Open southern oceans; sometimes inshore at harbours. Uncommon.",1,N
24,Birds,Terns Petrels and Frigates,Northern Giant Petrel,Macronectes halli,018a.png,"  Large; dark greyish brown, including crown, but face pale; bill yellowish brown to brown; no light form. Open southern oceans; rarely inshore. Fairly common.",1,N
25,Birds,Terns Petrels and Frigates,Southern Fulmar,Fulmarus glacialoides,019a.png,  Medium; above pale grey; below white; dark spot in front of eye; primaries dark with white flashes; bill pale with dark markings. Extreme southern oceans; mainly Aug-Jan. Scarce.,1,N
26,Birds,Terns Petrels and Frigates,Antarctic Petrel,Thalassoica antarctica,020a.png,"  Medium; above brown with broad white trailing edge to wings; below white; rump and tail white, tip dark brown; bill dark. Extreme southern oceans. Very rare.",1,N
